make,model,price,fuel,year,kms,power,doors,shift,color,province,model_id,id
ABARTH,500,17790,Gasolina,2019,15489,145,3,Manual,Gris,Andalucia,2,22
ABARTH,500,18995,Gasolina,2019,22000,160,3,Manual,Blanco,Cataluña,2,23
ABARTH,500,24600,Gasolina,2019,9900,180,3,Manual,Verde,Madrid,2,24
ABARTH,500,18490,Gasolina,2019,4700,145,3,Manual,Blanco,Aragon,2,25
ABARTH,500,17400,Gasolina,2019,6500,165,3,Manual,Gris,Aragon,2,26
ABARTH,500,22900,Gasolina,2019,20300,180,3,Manual,Gris,Castilla y Leon,2,27
ABARTH,500,25800,Gasolina,2019,2350,180,3,Automatico,Gris,Cataluña,2,28
ABARTH,500,19500,Gasolina,2019,140000,145,3,Manual,Rojo,Madrid,2,29
ABARTH,500,17900,Gasolina,2019,2500,145,3,Manual,Azul,La Rioja,2,30
ABARTH,500,15490,Gasolina,2019,25000,145,3,Manual,Gris,Canarias,2,31
ABARTH,500,17000,Gasolina,2019,30000,160,3,Manual,Negro,Murcia,2,32
ABARTH,500,17000,Gasolina,2019,32000,160,3,Manual,Gris,Islas Baleares,2,33
ABARTH,500,23000,Gasolina,2019,15000,180,3,Automatico,Negro,Valencia,2,34
ABARTH,500,27890,Gasolina,2018,26000,180,3,Automatico,Gris,Andalucia,2,35
ABARTH,500,17600,Gasolina,2018,16024,165,3,Manual,Amarillo,Andalucia,2,36
ABARTH,500,15000,Gasolina,2018,26000,145,3,Manual,Negro,Andalucia,2,37
ABARTH,500,21500,Gasolina,2018,44000,180,3,Manual,Gris,Islas Baleares,2,38
ABARTH,500,18290,Gasolina,2018,25000,160,3,Manual,Rojo,Andalucia,2,39
ABARTH,500,18290,Gasolina,2018,25000,160,3,Manual,Rojo,Madrid,2,40
ABARTH,500,16900,Gasolina,2018,22400,160,3,Manual,Gris,Islas Baleares,2,41
ABARTH,500,20990,Gasolina,2018,13994,180,3,Manual,Azul,Madrid,2,42
ABARTH,500,17990,Gasolina,2018,14036,165,3,Manual,Azul,Canarias,2,43
ABARTH,500,21000,Gasolina,2018,26000,180,3,Manual,Gris,Cataluña,2,44
ABARTH,500,20299,Gasolina,2018,23812,180,3,Automatico,Gris,Madrid,2,45
ABARTH,500,19400,Gasolina,2018,25400,160,3,Manual,Negro,Aragon,2,46
ABARTH,500,17000,Gasolina,2018,40000,165,3,Manual,Rojo,Canarias,2,47
ABARTH,500,24500,Gasolina,2018,9300,180,3,Automatico,Gris,Islas Baleares,2,48
ABARTH,500,15500,Gasolina,2018,29500,145,3,Manual,Negro,Pais Vasco,2,49
ABARTH,500,15900,Gasolina,2017,31800,140,3,Manual,Azul,Madrid,2,50
ABARTH,500,17500,Gasolina,2017,15300,165,3,Manual,Blanco,Galicia,2,51
ABARTH,500,15100,Gasolina,2017,49569,145,3,Manual,Gris,Cataluña,2,52
ABARTH,500,14999,Gasolina,2017,22000,165,3,Manual,Azul,Andalucia,2,53
ABARTH,500,18600,Gasolina,2017,32500,165,3,Automatico,Blanco,Pais Vasco,2,54
ABARTH,500,21990,Gasolina,2017,5000,180,3,Manual,Amarillo,Canarias,2,55
ABARTH,500,12990,Gasolina,2016,78000,140,3,Manual,Beige,Valencia,2,56
ABARTH,500,13950,Gasolina,2016,26000,145,3,Manual,Rojo,Canarias,2,57
ABARTH,500,15990,Gasolina,2016,56000,140,3,Manual,Azul,Canarias,2,58
ABARTH,500,16990,Gasolina,2016,51929,140,3,Manual,Blanco,Cataluña,2,59
ABARTH,500,16490,Gasolina,2016,90000,180,3,Manual,Rojo,Valencia,2,60
ABARTH,500,16990,Gasolina,2016,51929,140,3,Manual,Blanco,Valencia,2,61
ABARTH,500,12800,Gasolina,2015,40000,135,3,Manual,Negro,Asturias,2,62
ABARTH,500,13500,Gasolina,2015,39000,140,3,Automatico,Gris,Cataluña,2,63
ABARTH,500,12800,Gasolina,2015,86000,135,3,Manual,Gris,Valencia,2,64
ABARTH,500,12000,Gasolina,2015,49500,135,3,Manual,Blanco,Cataluña,2,65
ABARTH,500,11990,Gasolina,2014,64000,135,3,Manual,Blanco,Valencia,2,66
ABARTH,500,11250,Gasolina,2014,100867,135,3,Manual,Rojo,Valencia,2,67
ABARTH,500,12000,Gasolina,2014,70000,135,3,Manual,Blanco,Canarias,2,68
ABARTH,500,11400,Gasolina,2014,120000,135,3,Manual,Blanco,Castilla y Leon,2,69
ABARTH,500,8200,Gasolina,2011,101000,135,3,Automatico,Beige,Madrid,2,70
ABARTH,500,7900,Gasolina,2009,118000,135,3,Manual,Gris,Cataluña,2,71
ABARTH,500C,25890,Gasolina,2021,1,165,2,Automatico,Gris,Aragon,3,72
ABARTH,500C,19350,Gasolina,2020,1,145,2,Manual,Blanco,Madrid,3,73
ABARTH,500C,21950,Gasolina,2020,1,165,2,Manual,Rojo,Madrid,3,74
ABARTH,500C,26410,Gasolina,2020,0,145,2,Manual,Blanco,Andalucia,3,75
ABARTH,500C,16500,Gasolina,2018,54000,145,2,Automatico,Negro,Andalucia,3,76
ABARTH,500C,15990,Gasolina,2018,62310,145,2,Automatico,Blanco,Murcia,3,77
ABARTH,500C,25600,Gasolina,2018,21500,180,2,Automatico,Azul,Aragon,3,78
ABARTH,500C,28900,Gasolina,2018,6200,180,2,Automatico,Gris,Islas Baleares,3,79
ABARTH,500C,16900,Gasolina,2018,56000,145,2,Automatico,Negro,Madrid,3,80
ABARTH,500C,21900,Gasolina,2016,49500,165,2,Automatico,Negro,Andalucia,3,81
ABARTH,500C,15900,Gasolina,2016,30000,140,2,Automatico,Gris,Cataluña,3,82
ABARTH,500C,14900,Gasolina,2016,43000,140,2,Automatico,Gris,Cataluña,3,83
ABARTH,500C,13900,Gasolina,2015,47000,135,2,Manual,Gris,Andalucia,3,84
ABARTH,500C,14500,Gasolina,2015,53000,135,2,Automatico,Beige,Valencia,3,85
ABARTH,500C,15990,Gasolina,2015,28000,160,2,Manual,Rojo,Galicia,3,86
ABARTH,500C,15000,Gasolina,2014,69000,160,2,Manual,Gris,Castilla y Leon,3,87
ABARTH,500C,15990,Gasolina,2014,45800,160,2,Manual,Rojo,Pais Vasco,3,88
ABARTH,500C,8699,Gasolina,2013,160000,135,2,Manual,Gris,Cataluña,3,89
ABARTH,500C,15500,Gasolina,2012,76900,140,2,Automatico,Rojo,Cataluña,3,90
ABARTH,500C,10200,Gasolina,2012,128000,160,2,Automatico,Gris,Aragon,3,91
ABARTH,500C,15490,Gasolina,2012,47000,140,2,Automatico,Gris,Andalucia,3,92
ABARTH,500C,13100,Gasolina,2011,49993,140,2,Automatico,Blanco,Cataluña,3,93
ABARTH,Punto EVO,7900,Gasolina,2012,140000,165,3,Manual,Rojo,Galicia,4,94
ABARTH,Punto EVO,12999,Gasolina,2011,110000,165,3,Manual,Blanco,Cataluña,4,95
ALFA ROMEO,146,2750,Diesel,2005,320000,121,5,Manual,Azul,Madrid,5,96
ALFA ROMEO,147,3950,Diesel,2010,194000,120,5,Manual,Negro,Cataluña,6,97
ALFA ROMEO,147,3300,Diesel,2009,220000,132,5,Manual,Rojo,Madrid,6,98
ALFA ROMEO,147,6000,Diesel,2009,98400,120,5,Manual,Beige,Valencia,6,99
ALFA ROMEO,147,4300,Diesel,2009,119416,120,5,Manual,Beige,Madrid,6,100
ALFA ROMEO,147,2000,Diesel,2008,260000,121,5,Manual,Negro,Islas Baleares,6,101
ALFA ROMEO,147,4500,Gasolina,2008,145345,142,3,Manual,Negro,Madrid,6,102
ALFA ROMEO,147,2600,Diesel,2008,189000,120,5,Manual,Negro,Andalucia,6,103
ALFA ROMEO,147,2500,Gasolina,2008,185000,120,3,Manual,Rojo,Asturias,6,104
ALFA ROMEO,147,3800,Diesel,2008,170000,120,5,Manual,Negro,Asturias,6,105
ALFA ROMEO,147,3500,Gasolina,2008,127943,105,3,Manual,Negro,Valencia,6,106
ALFA ROMEO,147,3500,Gasolina,2008,174701,105,3,Manual,Gris,Galicia,6,107
ALFA ROMEO,147,2000,Diesel,2008,230000,120,5,Manual,Negro,Madrid,6,108
ALFA ROMEO,147,2300,Diesel,2008,237000,120,5,Manual,Azul,Andalucia,6,109
ALFA ROMEO,147,2990,Diesel,2007,240000,120,5,Manual,Rojo,Cataluña,6,110
ALFA ROMEO,147,4500,Gasolina,2007,159000,105,5,Manual,Rojo,Madrid,6,111
ALFA ROMEO,147,3000,Diesel,2007,190000,120,3,Manual,Rojo,Andalucia,6,112
ALFA ROMEO,147,3000,Diesel,2007,105000,120,3,Manual,Rojo,Valencia,6,113
ALFA ROMEO,147,3600,Gasolina,2007,134000,105,3,Manual,Rojo,Madrid,6,114
ALFA ROMEO,147,1900,Gasolina,2007,231000,105,5,Manual,Negro,Cataluña,6,115
ALFA ROMEO,147,2500,Diesel,2006,119000,120,3,Manual,Negro,Cataluña,6,116
ALFA ROMEO,147,2900,Diesel,2006,206000,120,3,Manual,Rojo,Andalucia,6,117
ALFA ROMEO,147,2500,Diesel,2006,180000,120,3,Manual,Gris,Andalucia,6,118
ALFA ROMEO,147,3500,Diesel,2006,175000,120,3,Manual,Gris,Galicia,6,119
ALFA ROMEO,147,2890,Gasolina,2005,130000,105,3,Manual,Azul,Madrid,6,120
ALFA ROMEO,147,3000,Diesel,2005,148388,120,5,Manual,Rojo,Valencia,6,121
ALFA ROMEO,147,2650,Diesel,2005,280649,115,5,Manual,Beige,Valencia,6,122
ALFA ROMEO,147,3000,Diesel,2005,260000,150,3,Manual,Negro,Castilla y Leon,6,123
ALFA ROMEO,147,1250,Gasolina,2005,130000,105,5,Manual,Rojo,Cataluña,6,124
ALFA ROMEO,147,3490,Diesel,2005,118000,120,5,Manual,Gris,Madrid,6,125
ALFA ROMEO,147,2500,Gasolina,2005,134000,105,3,Manual,Rojo,Cataluña,6,126
ALFA ROMEO,147,1400,Diesel,2005,280000,121,5,Manual,Gris,Andalucia,6,127
ALFA ROMEO,147,2900,Diesel,2005,250000,100,5,Manual,Negro,Valencia,6,128
ALFA ROMEO,147,3400,Diesel,2004,104000,110,3,Manual,Negro,Castilla y Leon,6,129
ALFA ROMEO,147,1799,Diesel,2004,227000,115,3,Manual,Rojo,Madrid,6,130
ALFA ROMEO,147,2000,Diesel,2004,165000,99,3,Manual,Gris,Murcia,6,131
ALFA ROMEO,147,2490,Diesel,2004,228900,115,3,Manual,Negro,Aragon,6,132
ALFA ROMEO,147,1200,Gasolina,2004,292,147,5,Manual,Rojo,Castilla La Mancha,6,133
ALFA ROMEO,147,3500,Gasolina,2004,122000,105,3,Manual,Rojo,Valencia,6,134
ALFA ROMEO,147,1950,Diesel,2003,247000,140,3,Manual,Rojo,Andalucia,6,135
ALFA ROMEO,147,2000,Gasolina,2003,121000,105,5,Manual,Negro,Valencia,6,136
ALFA ROMEO,147,1250,Gasolina,2003,222000,105,5,Manual,Gris,Cataluña,6,137
ALFA ROMEO,147,400,Gasolina,2003,160000,102,5,Manual,Rojo,Andalucia,6,138
ALFA ROMEO,147,750,Gasolina,2003,213000,120,3,Manual,Rojo,Madrid,6,139
ALFA ROMEO,147,2000,Diesel,2002,334000,115,3,Manual,Negro,Castilla y Leon,6,140
ALFA ROMEO,147,1500,Diesel,2002,340000,115,5,Manual,Azul,Andalucia,6,141
ALFA ROMEO,147,2500,Gasolina,2001,151000,120,5,Manual,Gris,Madrid,6,142
ALFA ROMEO,156,2200,Diesel,2005,225850,115,4,Manual,Gris,Madrid,7,143
ALFA ROMEO,156,2750,Diesel,2005,180000,140,4,Manual,Negro,Cataluña,7,144
ALFA ROMEO,156,3000,Diesel,2005,236000,137,5,Manual,Azul,Castilla y Leon,7,145
ALFA ROMEO,156,2600,Gasolina,2005,164000,218,5,Automatico,Negro,Islas Baleares,7,146
ALFA ROMEO,156,2000,Diesel,2005,197000,115,5,Manual,Negro,Valencia,7,147
ALFA ROMEO,156,1200,Diesel,2004,354000,115,4,Manual,Negro,Madrid,7,148
ALFA ROMEO,156,3140,Diesel,2004,170000,140,4,Manual,Verde,Asturias,7,149
ALFA ROMEO,156,4500,Diesel,2004,182000,112,4,Manual,Negro,Andalucia,7,150
ALFA ROMEO,156,1199,Diesel,2004,220000,120,5,Manual,Negro,Extremadura,7,151
ALFA ROMEO,156,1100,Diesel,2004,167918,121,4,Manual,Beige,Valencia,7,152
ALFA ROMEO,156,2600,Gasolina,2004,100000,165,4,Manual,Negro,Valencia,7,153
ALFA ROMEO,156,1500,Diesel,2002,300000,115,5,Manual,Gris,Madrid,7,154
ALFA ROMEO,156,1300,Gasolina,2001,125000,120,4,Manual,Azul,Cataluña,7,155
ALFA ROMEO,156,1300,Diesel,2001,245000,115,5,Manual,Gris,Galicia,7,156
ALFA ROMEO,156,1500,Diesel,2001,265846,110,4,Manual,Negro,Castilla y Leon,7,157
ALFA ROMEO,156,1000,Diesel,2001,360000,110,5,Manual,Azul,Asturias,7,158
ALFA ROMEO,156,2000,Gasolina,2000,150000,140,5,Manual,Blanco,Valencia,7,159
ALFA ROMEO,156,3000,Gasolina,2000,168216,120,4,Manual,Gris,Madrid,7,160
ALFA ROMEO,156,1800,Diesel,1999,240000,105,4,Manual,Negro,Andalucia,7,161
ALFA ROMEO,156,1500,Diesel,1999,301000,110,5,Manual,Verde,Andalucia,7,162
ALFA ROMEO,159,6990,Diesel,2011,157448,136,4,Manual,Blanco,Andalucia,8,163
ALFA ROMEO,159,6700,Diesel,2010,134000,150,5,Manual,Blanco,Madrid,8,164
ALFA ROMEO,159,6200,Diesel,2010,180000,138,5,Manual,Rojo,Madrid,8,165
ALFA ROMEO,159,6695,Diesel,2009,170000,210,5,Manual,Marron,Madrid,8,166
ALFA ROMEO,159,4900,Diesel,2008,266500,116,5,Manual,Negro,Valencia,8,167
ALFA ROMEO,159,4000,Diesel,2008,214569,150,4,Manual,Rojo,Andalucia,8,168
ALFA ROMEO,159,5495,Diesel,2008,129762,150,4,Manual,Gris,Andalucia,8,169
ALFA ROMEO,159,5000,Diesel,2008,155000,195,5,Automatico,Gris,Andalucia,8,170
ALFA ROMEO,159,3500,Diesel,2008,274000,150,4,Manual,Negro,Castilla La Mancha,8,171
ALFA ROMEO,159,4800,Diesel,2008,185000,150,5,Manual,Rojo,Galicia,8,172
ALFA ROMEO,159,1390,Diesel,2008,218500,131,5,Manual,Rojo,La Rioja,8,173
ALFA ROMEO,159,5900,Diesel,2008,250000,150,4,Manual,Marron,Valencia,8,174
ALFA ROMEO,159,3950,Diesel,2008,185500,150,4,Manual,Negro,Andalucia,8,175
ALFA ROMEO,159,4950,Diesel,2008,191500,134,5,Manual,Negro,Galicia,8,176
ALFA ROMEO,159,4490,Diesel,2007,228000,150,4,Automatico,Gris,Madrid,8,177
ALFA ROMEO,159,3999,Diesel,2007,250000,150,4,Manual,Gris,Madrid,8,178
ALFA ROMEO,159,5990,Diesel,2007,178250,200,4,Automatico,Gris,Cataluña,8,179
ALFA ROMEO,159,4995,Diesel,2007,199000,150,5,Manual,Negro,Madrid,8,180
ALFA ROMEO,159,3700,Diesel,2006,250000,129,5,Manual,Gris,Castilla La Mancha,8,181
ALFA ROMEO,159,4500,Diesel,2006,262000,200,4,Manual,Rojo,Asturias,8,182
ALFA ROMEO,159,3499,Gasolina,2006,263000,139,4,Manual,Azul,Andalucia,8,183
ALFA ROMEO,159,2950,Diesel,2006,290,115,5,Manual,Gris,Andalucia,8,184
ALFA ROMEO,159,3490,Diesel,2006,153000,150,4,Manual,Gris,Castilla La Mancha,8,185
ALFA ROMEO,159,5900,Diesel,2006,170000,200,4,Automatico,Negro,Valencia,8,186
ALFA ROMEO,159,3600,Diesel,2006,190000,121,4,Manual,Negro,Valencia,8,187
ALFA ROMEO,159,3700,Gasolina,2006,123000,160,4,Manual,Gris,Cataluña,8,188
ALFA ROMEO,164,13000,Gasolina,1992,235000,200,4,Manual,Rojo,Madrid,9,189
ALFA ROMEO,33,2500,Gasolina,1988,85000,105,5,Manual,Marron,Pais Vasco,10,190
ALFA ROMEO,33,2000,Gasolina,1987,386000,118,5,Manual,Negro,Madrid,10,191
ALFA ROMEO,33,2000,Gasolina,1987,387000,114,5,Manual,Negro,Madrid,10,192
ALFA ROMEO,Brera,8000,Diesel,2010,192000,210,3,Manual,Azul,Valencia,11,193
ALFA ROMEO,Brera,8000,Diesel,2010,154000,210,3,Manual,Blanco,Cataluña,11,194
ALFA ROMEO,Brera,5200,Diesel,2008,2150,210,3,Manual,Negro,Castilla La Mancha,11,195
ALFA ROMEO,Brera,7500,Diesel,2007,160000,210,3,Manual,Blanco,Castilla La Mancha,11,196
ALFA ROMEO,Brera,4900,Diesel,2007,285000,115,3,Manual,Blanco,Madrid,11,197
ALFA ROMEO,Brera,8750,Diesel,2006,103000,200,3,Manual,Azul,Andalucia,11,198
ALFA ROMEO,Brera,5700,Gasolina,2006,150000,185,3,Manual,Gris,Madrid,11,199
ALFA ROMEO,Brera,8000,Diesel,2006,140000,200,3,Manual,Negro,Andalucia,11,200
ALFA ROMEO,Giulia,29990,Diesel,2020,4,160,4,Manual,Azul,Navarra,14,201
ALFA ROMEO,Giulia,42100,Gasolina,2020,6000,280,4,Automatico,Blanco,Madrid,14,202
ALFA ROMEO,Giulia,36900,Gasolina,2020,10,200,4,Automatico,Negro,Cataluña,14,203
ALFA ROMEO,Giulia,27990,Diesel,2020,1,160,4,Manual,Gris,Valencia,14,204
ALFA ROMEO,Giulia,35400,Gasolina,2020,1,200,4,Automatico,Blanco,Castilla y Leon,14,205
ALFA ROMEO,Giulia,46990,Gasolina,2020,215,280,4,Automatico,Blanco,Aragon,14,206
ALFA ROMEO,Giulia,39900,Gasolina,2020,7057,280,4,Automatico,Azul,Madrid,14,207
ALFA ROMEO,Giulia,36500,Gasolina,2019,27000,280,4,Automatico,Azul,Valencia,14,208
ALFA ROMEO,Giulia,35000,Diesel,2019,75,160,4,Automatico,Blanco,Pais Vasco,14,209
ALFA ROMEO,Giulia,29900,Diesel,2019,10023,160,4,Manual,Blanco,Islas Baleares,14,210
ALFA ROMEO,Giulia,33300,Diesel,2019,1,160,4,Manual,Azul,Madrid,14,211
ALFA ROMEO,Giulia,32790,Diesel,2019,0,160,4,Manual,Blanco,Valencia,14,212
ALFA ROMEO,Giulia,28990,Diesel,2019,10,160,4,Manual,Gris,Castilla La Mancha,14,213
ALFA ROMEO,Giulia,33990,Gasolina,2019,0,200,4,Automatico,Negro,Cataluña,14,214
ALFA ROMEO,Giulia,39900,Gasolina,2019,9940,280,4,Automatico,Rojo,Andalucia,14,215
ALFA ROMEO,Giulia,20400,Diesel,2018,91900,150,4,Automatico,Negro,Galicia,14,216
ALFA ROMEO,Giulia,19990,Diesel,2018,44200,150,4,Automatico,Rojo,Castilla La Mancha,14,217
ALFA ROMEO,Giulia,20500,Diesel,2018,76000,150,4,Automatico,Gris,Castilla La Mancha,14,218
ALFA ROMEO,Giulia,17500,Diesel,2018,95500,150,4,Automatico,Gris,Castilla y Leon,14,219
ALFA ROMEO,Giulia,20500,Diesel,2018,76000,150,4,Automatico,Gris,Castilla La Mancha,14,220
ALFA ROMEO,Giulia,23990,Diesel,2018,19361,180,4,Automatico,Rojo,Castilla La Mancha,14,221
ALFA ROMEO,Giulia,18500,Diesel,2018,74808,150,4,Manual,Blanco,Madrid,14,222
ALFA ROMEO,Giulia,21990,Diesel,2018,54500,180,4,Automatico,Gris,Madrid,14,223
ALFA ROMEO,Giulia,17500,Diesel,2018,95500,150,4,Automatico,Gris,Castilla y Leon,14,224
ALFA ROMEO,Giulia,29500,Diesel,2018,35000,210,4,Automatico,Azul,Andalucia,14,225
ALFA ROMEO,Giulia,17850,Diesel,2018,82000,150,4,Automatico,Gris,Cataluña,14,226
ALFA ROMEO,Giulia,21000,Gasolina,2017,48000,200,4,Automatico,Rojo,Cataluña,14,227
ALFA ROMEO,Giulia,20900,Diesel,2017,86000,150,4,Automatico,Rojo,Castilla y Leon,14,228
ALFA ROMEO,Giulia,21990,Diesel,2017,54500,180,4,Automatico,Gris,Castilla y Leon,14,229
ALFA ROMEO,Giulia,17490,Diesel,2017,124000,150,4,Automatico,Azul,Castilla y Leon,14,230
ALFA ROMEO,Giulia,17990,Diesel,2017,54500,150,4,Manual,Rojo,Castilla y Leon,14,231
ALFA ROMEO,Giulia,22900,Diesel,2017,34500,150,4,Manual,Rojo,Castilla y Leon,14,232
ALFA ROMEO,Giulia,27500,Diesel,2017,75000,210,4,Automatico,Azul,Pais Vasco,14,233
ALFA ROMEO,Giulia,20990,Diesel,2017,51300,150,4,Automatico,Rojo,Valencia,14,234
ALFA ROMEO,Giulia,22900,Diesel,2017,166000,150,4,Automatico,Gris,Galicia,14,235
ALFA ROMEO,Giulia,18800,Diesel,2017,83394,150,4,Manual,Blanco,Castilla La Mancha,14,236
ALFA ROMEO,Giulia,17990,Diesel,2017,16700,150,4,Manual,Azul,Castilla y Leon,14,237
ALFA ROMEO,Giulia,19400,Diesel,2017,83000,150,4,Automatico,Gris,Cataluña,14,238
ALFA ROMEO,Giulia,17990,Diesel,2017,21000,150,4,Manual,Negro,Cataluña,14,239
ALFA ROMEO,Giulia,16800,Diesel,2016,169000,150,4,Manual,Negro,Galicia,14,240
ALFA ROMEO,Giulia,17520,Diesel,2016,90175,150,4,Manual,Gris,Castilla y Leon,14,241
ALFA ROMEO,Giulia,23300,Diesel,2016,25000,136,4,Manual,Negro,Galicia,14,242
ALFA ROMEO,Giulia,18900,Diesel,2016,94000,150,4,Manual,Rojo,Asturias,14,243
ALFA ROMEO,Giulia,17299,Diesel,2016,101054,150,4,Manual,Rojo,Madrid,14,244
ALFA ROMEO,Giulia,17500,Diesel,2016,101054,150,4,Manual,Rojo,Extremadura,14,245
ALFA ROMEO,Giulia,20700,Diesel,2016,60046,180,4,Manual,Azul,Cataluña,14,246
ALFA ROMEO,Giulietta,18400,Gasolina,2020,1,120,5,Manual,Gris,Castilla y Leon,15,247
ALFA ROMEO,Giulietta,19700,Gasolina,2020,0,120,5,Manual,Blanco,Islas Baleares,15,248
ALFA ROMEO,Giulietta,18500,Gasolina,2019,25000,103,5,Manual,Negro,Madrid,15,249
ALFA ROMEO,Giulietta,15900,Diesel,2019,20633,120,5,Manual,Blanco,Andalucia,15,250
ALFA ROMEO,Giulietta,17000,Gasolina,2019,14000,120,5,Manual,Azul,Valencia,15,251
ALFA ROMEO,Giulietta,19400,Gasolina,2019,10,120,5,Manual,Blanco,Pais Vasco,15,252
ALFA ROMEO,Giulietta,18990,Gasolina,2019,50,120,5,Manual,Blanco,La Rioja,15,253
ALFA ROMEO,Giulietta,15700,Gasolina,2019,14500,144,5,Manual,Blanco,Madrid,15,254
ALFA ROMEO,Giulietta,13500,Diesel,2018,73000,120,5,Automatico,Gris,Valencia,15,255
ALFA ROMEO,Giulietta,10990,Diesel,2018,129790,120,5,Manual,Blanco,Madrid,15,256
ALFA ROMEO,Giulietta,14990,Diesel,2018,23317,120,5,Manual,Blanco,Madrid,15,257
ALFA ROMEO,Giulietta,14350,Gasolina,2018,44287,120,5,Manual,Gris,Valencia,15,258
ALFA ROMEO,Giulietta,13250,Diesel,2018,91393,120,5,Manual,Blanco,Valencia,15,259
ALFA ROMEO,Giulietta,15800,Diesel,2017,65808,150,5,Manual,Blanco,Andalucia,15,260
ALFA ROMEO,Giulietta,8950,Diesel,2016,150000,105,5,Manual,Blanco,Andalucia,15,261
ALFA ROMEO,Giulietta,13900,Gasolina,2016,75300,120,5,Manual,Gris,Andalucia,15,262
ALFA ROMEO,Giulietta,9490,Diesel,2016,125507,105,5,Manual,Blanco,Madrid,15,263
ALFA ROMEO,Giulietta,11550,Diesel,2016,74500,120,5,Manual,Rojo,Andalucia,15,264
ALFA ROMEO,Giulietta,14890,Gasolina,2015,116000,170,5,Automatico,Rojo,Valencia,15,265
ALFA ROMEO,Giulietta,11990,Diesel,2015,110991,105,5,Manual,Gris,Cataluña,15,266
ALFA ROMEO,Giulietta,9500,Diesel,2015,56000,105,5,Manual,Blanco,Andalucia,15,267
ALFA ROMEO,Giulietta,14890,Gasolina,2015,116000,170,5,Automatico,Rojo,Madrid,15,268
ALFA ROMEO,Giulietta,11900,Diesel,2015,156000,105,5,Manual,Gris,Castilla La Mancha,15,269
ALFA ROMEO,Giulietta,10750,Diesel,2015,80000,126,5,Manual,Negro,Andalucia,15,270
ALFA ROMEO,Giulietta,10450,Diesel,2015,93000,150,5,Manual,Gris,Andalucia,15,271
ALFA ROMEO,Giulietta,10450,Diesel,2015,93000,150,5,Manual,Gris,Cataluña,15,272
ALFA ROMEO,Giulietta,14890,Gasolina,2015,116000,170,5,Automatico,Rojo,Andalucia,15,273
ALFA ROMEO,Giulietta,7500,Diesel,2014,105000,105,5,Manual,Blanco,Canarias,15,274
ALFA ROMEO,Giulietta,10000,Diesel,2014,85000,105,5,Manual,Rojo,Pais Vasco,15,275
ALFA ROMEO,Giulietta,9950,Diesel,2014,87000,150,5,Manual,Gris,Valencia,15,276
ALFA ROMEO,Giulietta,10000,Diesel,2014,108000,105,5,Manual,Gris,Valencia,15,277
ALFA ROMEO,Giulietta,7499,Diesel,2014,110000,135,5,Manual,Blanco,Valencia,15,278
ALFA ROMEO,Giulietta,10100,Diesel,2014,159000,140,5,Manual,Gris,Galicia,15,279
ALFA ROMEO,Giulietta,10490,Diesel,2014,107000,105,5,Manual,Blanco,Madrid,15,280
ALFA ROMEO,Giulietta,11000,Diesel,2014,78000,150,5,Manual,Azul,Andalucia,15,281
ALFA ROMEO,Giulietta,11500,Diesel,2014,71000,105,5,Manual,Blanco,Andalucia,15,282
ALFA ROMEO,Giulietta,7100,Diesel,2013,117000,105,5,Manual,Blanco,Cataluña,15,283
